sample_name	sample_id	aiFA13:0	aiFA15:0	aiFA17:0	aiFA19:0	Branched	FA8:0	FA10:0	FA11:0	FA12:0	FA13:0	FA14:0	FA14:1n5	FA15:0	FA16:0	FA16:1n7	FA16:3n3	FA17:0	FA18:0	FA18:1n9	FA18:1n9T	FA18:2n6	FA18:2n6T	FA18:3n3	FA18:3n6	FA20:0	FA20:1n9	FA20:2n6	FA20:3n3	FA20:3n6	FA20:4n6	FA20:5n3	FA22:0	FA22:1n9	FA22:2n6	FA22:6n3	FA23:0	FA24:0	FA24:1n9	iFA13:0	iFA14:0	iFA15:0	iFA16:0	iFA17:0	iFA18:0	iFA19:0	iFA20:0	Lipid	Monounsaturated	Omega-3	Omega-6	Saturated	Trans	2,4-Xylose	2,5-Arabinose	2-Glucose	2-Mannose	2-Rhamnose	2-Xylose	3,4-Galactose	3,4-Xylose	3,5-Arabinose	3,6-Galactose	3,6-Glucose	3-Galactose	3-Glucose	4,6-Glucose	4,6-Mannose	4-Galactose	4-Glucose	4-Mannose	4-Rhamnose	4-Xylose	5-Arabinose	6-Galactose	6-Glucose	Allose	Apiose	Arabinose	Fibers	Fructose	Fucose	GalA	Galactose	GalN	GalNAc	GlcA	GlcN	GlcNAc	Glucose	Glycogen	IdoA	Mannose	Rhamnose	Ribose	Starch	Sugar and cellulose	T-Arabinose	T-Fucose	T-Galactose	T-Glucose	T-Mannose	T-Rhamnose	T-Xylose	Xylose	Aluminum	Arsenic	Barium	Beryllium	Boron	Cadmium	Calcium	Chromium	Cobalt	Copper	Iron	Lead	Lithium	Magnesium	Manganese	Minerals	Molybdenum	Nickel	Other Ash	Phosphorus	Potassium	Selenium	Sodium	Strontium	Sulfur	Tungsten	Vanadium	Zinc	Alanine	Arginine	Asparagine	Aspartic acid	Cysteine	Glutamic acid	Glutamine	Glycine	Histidine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Proline	Serine	Threonine	Tryptophan	Tyrosine	Valine	Ash	Carbohydrate	Protein	Water
chickpea	GGB100039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368126	0	0	0	0.046016	0.810586	0	1.922044	0	0.088492	0	0.017698	0.014159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.267121	0.824744	0.088492	1.922044	0.43184	0	0.004035	0	0	0	0.023857	0.050511	0	0.05352	0	0	0.033202	0	0	0.021557	0	0	0.589958	0	0	0	0.393754	0.136101	0	0	0.002018	1.231135	2.684419	0	0.01922	0.235247	0.220663	0.000177	0	0.002796	0	0	0.733208	0	0	0	0.082191	0.021521	19.06823432	2.973328	0.837417	0	0.084598	0.088492	0	0.058334	0.028176	0.136207	7.5E-05	2.25E-07	4E-05	1.77E-08	0.000818	1.77E-08	0.005663	1.77E-08	7.08E-08	5.77E-05	0.000165	8.46E-08	1.77E-06	0.007893	1.31E-05	0.210965	3.72E-06	1.42E-07	0.539447	0.016884	0.175568	3.54E-07	0.000184	4.42E-05	0.00354	8.53E-08	5.31E-08	3.54E-06	0.418574	0.395283	0.403934	0.342046	0.067877	0.574957	0.419905	0.429221	0.157048	0.333395	0.614884	0.412585	0.083848	0.352693	0.304115	0.517727	0.272838	0.037266	0.149063	0.366002	0.750411	24.72463648	6.654591	64.60324
extra firm tofu (raw)	GGB100183	0	0	0	0	0	0	0	0	0	0	0.003622	0	0	0.604869	0.005433	0	0.005433	0.210074	1.436111	0	2.74002	0	0.378496	0	0.019921	0.012677	0	0	0	0	0	0.021732	0	0	0	0	0.009055	0	0	0	0	0	0	0	0	0	5.447442	1.45241	0.378496	2.74002	0.876517	0	0.007244	0	0	0.109728	0.003821	0.007208	0	0.003368	0	0	0	0	0	0	0.006628	0	0	0	0.002155	0	0.060396	0.153445	0	0	0.001032	0.077474	0.596828	0	0.016009	0.044242	0.153445	0.000272	0	0.003368	0.004292	0.005415	0	0	0	0.213642	0.016788	0.034698	0.028976	1.079347	0.017078	0	0	0	0.097286	0.010812	0.008349	0.026169	0.000239	6.75E-08	1.41E-05	0	0.000118	1.1E-06	0.072258	3.86E-06	3.6E-07	0.000158	0.001152	1.68E-07	1.1E-06	0.045094	0.000351	0.355858	3.51E-05	5.51E-06	0.440975	0.08403	0.087833	2.03E-06	0.006773	0.000234	0.057046	8.71E-08	4E-07	0.000507	0.567923	0.628881	0.619737	0.486646	0.112772	1.021042	0.769084	0.614657	0.230623	0.503917	0.842233	0.592306	0.101596	0.471407	0.588242	0.743684	0.367778	0.070101	0.257038	0.570971	0.796833	1.705948	10.15962395	81.89015
blackeyed pea	GGB100438	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517209	0	0	0	0.101595	0.166246	0	0.637276	0	0.406379	0	0	0	0	0	0	0	0	0.046179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.874884	0.166246	0.406379	0.637276	0.664983	0	0.071209	0	0	0.365833	0.015609	0	0	0.170402	0	0.237824	0.210301	0	0	0	0.204852	0	1.624776	0.106767	0	0	0.898836	0	0.299243	0	0.006096	1.60261	6.905483	0	0.058925	0.427529	0.5838	0	0	0.009882	0	0.006835	3.064742	0	0	0.677452	0.093559	0.088757	38.25501661	23.32059801	0.703774	0	0.345976	0.930515	0	0.077951	0.043501	0.285204	0	4.25E-07	2.32E-05	0	0.001256	1.76E-05	0.06733	5.23E-06	1.2E-05	0.001182	0.002568	0	0	0.247522	0.001626	2.042977	0.003556	0.000139	1.12493	0.386983	1.154485	4.08E-05	0	0.000551	0.173635	1.39E-07	3.67E-07	0.001866	1.283085	0.981626	0.966553	1.021193	0.146961	1.567588	0.964669	1.224678	0.491755	0.981626	1.635416	1.232214	0.307111	0.866695	0.889304	1.403669	0.926987	0.165803	0.552047	1.232214	3.167907	68.47481728	18.84119601	7.641196
edamame pod (raw)	GGB100069	0	0	0	0	0	0	0	0	0	0	0.005731	0	0	0.598889	0.005731	0	0	0.163333	2.252281	0	2.283801	0	0.395439	0	0.020058	0.017193	0	0	0	0	0	0.022924	0	0	0	0	0.014327	0	0	0	0	0	0	0	0	0	5.779708	2.27807	0.395439	2.283801	0.822398	0	0.028569	0	0	0.073013	0.010946	0.044644	0.061923	0.053298	0	0.147373	0	0	0.005588	0.011261	0	0	0.043699	0.116368	0	0.050089	0	0.602929	0	0	0.005588	0.56158	2.468626	0	0.074818	0.233567	0.913377	0.001089	0	0.006906	0.00149	0.000831	0.11333	0	0	0.189381	0.088573	0.066107	2.842573	5.223801	0.56158	0	0.101152	0.052782	0	0.077626	0.035418	0.211989	4.3E-06	6.59E-07	2.87E-05	5.59E-08	0.000607	1.05E-06	0.062468	1.17E-06	5.62E-07	0.000268	0.002705	1.51E-07	3.93E-07	0.049	0.000639	0.755918	6.02E-05	6.88E-06	0.553614	0.119205	0.45848	5.73E-07	0.000676	3.55E-05	0.060462	2.87E-08	7.02E-08	0.001324	0.640969	0.674065	0.653104	0.532854	0.124663	1.07343	0.761219	0.678478	0.223953	0.589118	0.937734	0.655311	0.12356	0.525131	0.638762	0.783284	0.417016	0.080535	0.28463	0.633246	1.309532	10.53356725	11.03216374	71.34503
brown lentil (cooked)	GGB100045	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104277	0	0	0	0.010428	0.173795	0	0.298927	0	0.072994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663897	0.173795	0.072994	0.298927	0.114705	0	0.014981	0	0	0	0.011575	0	0	0.114079	0	0	0.036984	0	0	0.01943	0	0	0.636785	0	0	0	0.432298	0	0.033647	0	0.001425	0.756634	2.251444	0	0.015954	0.159474	0.210083	0	0	0.003128	0	0	0.827125	0	0	0	0.049532	0.034481	16.7955465	5.575343	0.324336	0	0.210083	0.10028	0	0.037957	0.064547	0.193608	5.8E-08	2.34E-11	2.67E-08	0	2.73E-08	1.37E-10	2.14E-06	3.1E-10	2.3E-10	6.64E-10	2.6E-07	4.62E-11	1.26E-10	5.11E-06	6.01E-08	0.734811	9.21E-09	5.53E-09	0.151543	9E-06	4.87E-05	2.4E-09	0	9.87E-09	7.96E-06	3.65E-11	8.2E-11	1.48E-07	0.430991	0.57351	0.623305	0.414678	0.034342	0.891172	0.581236	0.46705	0.15969	0.456747	0.819054	0.545177	0.060957	0.410386	0.373468	0.734916	0.285038	0.020605	0.198324	0.504826	0.886354	24.62327	8.585472	65.241
pinto bean (cooked)	GGB100055	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114806	0	0	0	0.014351	0.051663	0	0.238223	0	0.258314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677358	0.051663	0.258314	0.238223	0.129157	0	0.026291	0	0	0.086507	0.006228	0.209694	0	0	0.206852	0	0.027611	0	0	0.033351	0	0	0.487611	0.04024	0	0	0.332422	0.181107	0	0	0.001665	1.127772	2.93336	0	0.09948	0.204154	0.257453	0	0	0.007003	0.021871	0.001177	0.647738	0	0	0.126775	0.061421	0.028415	12.70906606	5.453303	0.588497	0	0.076346	0.099164	0	0.055193	0.112424	0.348437	0.000399	6.66E-08	0.000245	1.15E-08	2.73E-05	1.44E-07	0.016905	1.34E-06	3.67E-07	9.87E-05	0.001073	6.63E-09	5.74E-07	0.033294	0.001613	0.327772	1.25E-05	3.13E-06	0.630861	0.088114	0.128009	5.74E-07	0.00039	7.75E-05	0.056542	1E-07	2.55E-07	0.000844	0.394612	0.263274	0.368942	0.315212	0.016119	0.50028	0.278199	0.3773	0.144472	0.309242	0.558786	0.396403	0.079997	0.30387	0.239991	0.526548	0.283572	0.03582	0.177307	0.399388	0.958633	21.09567198	5.969932	71.29841
